Folder_Name,RNA_Number,Protein_Class_0_Likelihood,Protein_Class_1_Likelihood,Protein_Class_2_Likelihood,Protein_Class_3_Likelihood,Protein_Class_4_Likelihood,Protein_Class_5_Likelihood,Protein_Class_6_Likelihood,Protein_Class_7_Likelihood,Protein_Class_8_Likelihood,Protein_Class_9_Likelihood,Protein_Class_10_Likelihood,Protein_Class_11_Likelihood,Protein_Class_12_Likelihood,Protein_Class_13_Likelihood,Protein_Class_14_Likelihood,Protein_Class_15_Likelihood,Protein_Class_16_Likelihood
/Users/marcobenavides/repos/ML4FG/3D-RBP/Data/datasets/clip/28_ICLIP_TIA1_hg19,0,0.00029008585,1.2185969e-13,1.7693879e-26,6.706273e-17,0.00019902068,0.0016547655,0.9969325,0.00021492236,8.85365e-24,0.00012358889,1.3996782e-13,4.829926e-16,1.7213028e-12,0.0005138695,5.162738e-22,1.4487706e-14,7.11962e-05
/Users/marcobenavides/repos/ML4FG/3D-RBP/Data/datasets/clip/15_PARCLIP_IGF2BP123_hg19,1,3.991062e-07,2.8564726e-09,5.1715342e-17,1.5387712e-14,0.0004453547,2.4706452e-07,4.853131e-06,9.223428e-05,1.6735699e-14,0.00016540395,0.9971517,2.4461352e-15,6.247603e-08,0.0021397853,4.1319706e-25,8.681129e-10,8.1465223e-10
/Users/marcobenavides/repos/ML4FG/3D-RBP/Data/datasets/clip/15_PARCLIP_IGF2BP123_hg19,2,3.5220447e-07,2.3933133e-09,3.7359225e-17,1.13223165e-14,0.00051600876,2.7435993e-07,4.9212595e-06,8.164055e-05,1.4217765e-14,0.00014762484,0.99698585,2.3233468e-15,5.1656116e-08,0.0022633458,3.68951e-25,7.0781836e-10,9.997463e-10
/Users/marcobenavides/repos/ML4FG/3D-RBP/Data/datasets/clip/22_ICLIP_NSUN2_293_group_4007_all-NSUN2-293-hg19_sum_G_hg19--ensembl59_from_3137-3202_bedGraph-cDNA-hits-in-genome,3,1.6689306e-07,1.5593427e-05,2.1605191e-16,4.2885335e-09,8.440699e-09,4.5719745e-14,3.8037657e-09,9.498017e-11,5.189772e-19,3.3638255e-08,1.7240653e-11,5.5608736e-11,0.00020778152,1.4437715e-09,6.5248197e-12,0.9997764,2.0386989e-16
/Users/marcobenavides/repos/ML4FG/3D-RBP/Data/datasets/clip/24_PARCLIP_QKI_hg19,4,9.485099e-08,3.0982e-07,7.0294846e-05,0.0002769025,5.719843e-05,0.008835143,8.4831395e-09,0.0005121656,0.0030914017,5.953835e-11,9.685503e-12,0.008400109,8.154651e-10,2.1170695e-08,0.97871745,1.7462746e-07,3.8774917e-05
/Users/marcobenavides/repos/ML4FG/3D-RBP/Data/datasets/clip/31_ICLIP_U2AF65_Hela_iCLIP_ctrl+kd_all_clusters,5,2.3627079e-05,3.1531938e-05,1.3457245e-05,0.00018221192,0.0402799,0.73545337,3.402977e-05,0.18039723,0.00020962626,3.5881965e-06,1.747083e-05,0.04222602,2.7975193e-06,0.00013596949,3.687653e-05,1.1994821e-05,0.00094028196
/Users/marcobenavides/repos/ML4FG/3D-RBP/Data/datasets/clip/28_ICLIP_TIA1_hg19,6,0.0007799436,2.2219355e-12,1.2636922e-24,2.6549155e-15,0.0037643039,0.006790101,0.97915846,0.0003837814,1.3124409e-21,0.0024650067,2.2766858e-11,1.5395396e-15,1.0529256e-10,0.0066282055,1.1861665e-21,1.2626494e-12,3.015915e-05
/Users/marcobenavides/repos/ML4FG/3D-RBP/Data/datasets/clip/27_ICLIP_TDP43_hg19,7,1.0714461e-05,6.3519925e-05,0.00012670924,0.0010300331,0.00035401146,0.014367297,2.6920522e-06,0.9803843,0.0002038648,3.8988865e-06,4.9762903e-06,0.0034034532,8.568349e-06,8.598119e-06,2.603044e-07,2.1953574e-05,5.1911256e-06
/Users/marcobenavides/repos/ML4FG/3D-RBP/Data/datasets/clip/25_CLIPSEQ_SFRS1_hg19,8,1.7152733e-13,0.99830735,0.0005079502,0.0011060804,3.7058075e-07,4.8095615e-15,7.886231e-19,4.92884e-08,3.0362358e-07,9.056039e-11,2.6407249e-12,5.3562013e-07,5.6118646e-05,5.7340086e-13,4.579767e-15,2.1249452e-05,2.6638564e-10
/Users/marcobenavides/repos/ML4FG/3D-RBP/Data/datasets/clip/31_ICLIP_U2AF65_Hela_iCLIP_ctrl+kd_all_clusters,9,1.7959157e-05,1.8671968e-05,1.5214704e-06,1.0070409e-05,0.073378325,0.8651495,2.9769193e-05,0.043339852,5.2963856e-05,1.6837673e-06,5.179177e-06,0.013240485,6.697513e-07,0.00021195506,3.6425e-05,3.209644e-06,0.004501743
